value
579.0
260.0
34.0
308.0
665.0
17.0
212.0
51.0
732.0
56.0
37.0
379.0
499.0
163.0
489.0
47.0
185.0
427.0
22.0
77.0
35.0
273.0
926.0
37.0
128.0
21.0
33.0
307.0
548.0
38.0
22.0
305.0
38.0
776.0
777.0
69.0
415.0
25.0
1004.0
594.0
599.0
268.0
313.0
497.0
1121.0
440.0
21.0
152.0
212.0
24.0
113.0
19.0
142.0
281.0
70.0
26.0
283.0
729.0
31.0
69.0
341.0
129.0
27.0
839.0
363.0
775.0
303.0
33.0
784.0
806.0
12.0
211.0
236.0
370.0
724.0
135.0
20.0
277.0
444.0
46.0
71.0
54.0
363.0
181.0
32.0
12.0
48.0
187.0
632.0
110.0
21.0
58.0
37.0
42.0
20.0
125.0
128.0
111.0
269.0
69.0
477.0
248.0
43.0
375.0
1018.0
114.0
32.0
778.0
47.0
648.0
26.0
20.0
31.0
18.0
254.0
25.0
91.0
67.0
16.0
14.0
781.0
779.0
93.0
183.0
18.0
83.0
30.0
63.0
34.0
71.0
36.0
360.0
131.0
709.0
25.0
82.0
184.0
494.0
205.0
193.0
77.0
26.0
116.0
287.0
17.0
301.0
231.0
495.0
556.0
520.0
356.0
146.0
263.0
19.0
27.0
205.0
817.0
389.0
500.0
593.0
563.0
96.0
17.0
96.0
23.0
697.0
184.0
24.0
407.0
498.0
40.0
462.0
33.0
707.0
406.0
20.0
15.0
445.0
32.0
33.0
113.0
38.0
17.0
69.0
221.0
33.0
53.0
17.0
17.0
60.0
611.0
34.0
41.0
23.0
226.0
24.0
21.0
212.0
26.0
28.0
178.0
266.0
246.0
52.0
499.0
200.0
14.0
325.0
65.0
66.0
23.0
226.0
25.0
18.0
190.0
65.0
26.0
109.0
438.0
67.0
38.0
779.0
39.0
15.0
776.0
673.0
34.0
29.0
21.0
27.0
725.0
313.0
386.0
188.0
96.0
178.0
316.0
643.0
21.0
24.0
43.0
111.0
160.0
26.0
30.0
80.0
494.0
112.0
997.0
333.0
23.0
278.0
525.0
35.0
250.0
35.0
138.0
127.0
428.0
36.0
29.0
190.0
547.0
16.0
46.0
19.0
19.0
52.0
620.0
24.0
46.0
25.0
359.0
51.0
23.0
15.0
404.0
68.0
23.0
290.0
16.0
15.0
40.0
786.0
370.0
20.0
43.0
397.0
41.0
558.0
284.0
380.0
212.0
194.0
552.0
18.0
89.0
169.0
18.0
733.0
88.0
596.0
480.0
50.0
84.0
22.0
1340.0
309.0
38.0
351.0
17.0
65.0
29.0
82.0
398.0
14.0
24.0
61.0
440.0
286.0
296.0
183.0
288.0
79.0
18.0
15.0
133.0
264.0
17.0
54.0
47.0
237.0
564.0
582.0
13.0
464.0
272.0
21.0
106.0
613.0
540.0
24.0
25.0
431.0
66.0
324.0
60.0
732.0
28.0
39.0
45.0
21.0
285.0
199.0
104.0
20.0
23.0
63.0
251.0
20.0
217.0
349.0
294.0
