window,label,step_n,xfer_n,no_p90,no_p99,any_p90,any_p99,ge2_n,ge2_p90,ge2_p95,ge2_p99,ge2_delta_p99,xfer_p50,xfer_p90,xfer_p99,throughput_p50,throughput_p90
early_120,early +120s,5256,745,12.835359573364258,13.813829421997072,13.448858261108398,36.811604499816646,463,22.458314895629883,27.85220146179199,324.37845230102533,310.56462287902826,12.397,35.372800000000005,136.23667999999986,1.8556224726414712,2.560568194428749
mid_180,mid +180s,9638,1133,12.50307559967041,12.696728706359863,12.552189826965332,23.861627578735366,710,15.609931945800783,21.14741802215576,26.707036495208715,14.010307788848852,11.142000000000001,26.9618,38.858560000000004,1.9327402310149915,2.741483758516875
mid_240,mid +240s,9596,1193,12.578034400939941,12.90858507156372,12.89379596710205,21.583545207977327,970,14.443683624267578,18.4218168258667,24.639685153961178,11.731100082397457,12.562,27.097199999999997,37.91943999999996,1.6625793389437735,2.656370734667852
mid_300,mid +300s,9558,1226,12.656450271606445,12.992620468139648,12.909841537475586,22.170619964599606,1142,14.766192436218262,18.423640727996826,25.284397602081267,12.291777133941618,12.711500000000001,27.2185,37.70025,1.4350595130195178,2.659833402078153
late_360,late +360s,6584,702,12.577009201049805,12.999999523162842,13.017129898071289,25.609579086303693,664,18.275427818298343,22.615098953247074,26.884989738464355,13.884990215301514,12.786000000000001,29.1846,42.368170000000006,1.3062968024426622,2.6200998585045294
