bucket,n,p50,p90,p95,p99,multi_pct,estimated_mb_p50,normalized_mb_per_ms_p50,union_overlap_ms_p50
0,16641,12.908512115478516,13.136927604675293,13.188896179199219,13.293497657775879,0.0,0.0,0.0,0.0
"(0, 0.5]",4868,12.970303535461426,13.176528072357177,13.249901151657104,14.857892808914183,20.768282662284307,0.7551758256870741,0.059279981191961414,0.3877878189086914
"(0.5, 1]",394,12.946256160736084,13.24138879776001,14.462764930725097,19.403223304748533,68.52791878172589,7.85481625602684,0.620759539034794,12.85707950592041
"(1, 2]",1534,12.978032112121582,13.222114753723146,13.42233099937439,21.50448026657106,37.222946544980445,21.638715223140444,1.6793717074826193,12.86017894744873
"(2, 3]",1679,12.97555160522461,17.633484649658204,21.00246429443359,28.008726959228525,45.503275759380585,29.66071137651414,2.280348304086164,12.921571731567383
"(3, 4]",219,13.008864402770996,21.727545166015634,25.52630405426025,28.08308540344238,97.71689497716895,45.23459779152294,3.3769600808573226,12.953758239746094
>4,55,13.022720336914062,18.411392211914062,20.26174736022949,23.150163459777836,100.0,57.62191937057309,4.422624749111759,13.011932373046875
