bucket,n,p50,p90,p95,p99,multi_pct,estimated_mb_p50,normalized_mb_per_ms_p50,union_overlap_ms_p50
0,11298,14.032602310180664,14.373612403869629,14.461076259613037,14.62054967880249,0.0,0.0,0.0,0.0
"(0, 0.5]",2174,14.1068696975708,14.408278465270996,14.497518539428711,15.252838134765621,6.485740570377185,3.623186558324015,0.25811727534172657,2.919912338256836
"(0.5, 1]",770,14.06848430633545,14.470386505126953,14.61796760559082,18.457148075103756,38.05194805194805,8.427147401637828,0.608377573059953,3.46529483795166
"(1, 2]",1511,14.089107513427734,14.43171501159668,14.585375785827637,25.684452056884787,25.479814692256785,22.346021146152573,1.6071965649793067,11.178255081176758
"(2, 3]",950,14.142036437988281,20.195770263671875,22.283113002777093,30.509798526763912,51.26315789473684,32.74724432939007,2.293433797076908,13.953924179077148
"(3, 4]",225,14.188051223754883,21.148395538330078,25.15745162963864,28.45330238342285,100.0,47.62435961718956,3.3063226184069148,14.003515243530273
>4,32,13.970375061035156,14.28372859954834,14.58669900894165,14.999465942382812,100.0,62.63227463236467,4.479975400080235,13.970375061035156
