ev,ts,start,end,duration_ms,role,dp,tp,pid,overlap_ms,overlap_ratio,union_overlap_ms,union_overlap_ratio,overlap_intensity,max_active_recv,max_xfer_pressure_GBps,avg_step_xfer_pressure_GBps,avg_active_xfer_pressure_GBps,bytes_during_step_MB,normalized_transfer_MB_per_ms
engine_step_start,1780383693.8596365,1780383693.8596365,1780383693.8637993,4.162788391113281,decode,0,0,1322412,1.5881061553955078,0.3815005727376861,1.5881061553955078,0.3815005727376861,1.0,1,1.9808046139186308,0.7556780946914089,1.9808046139186308,3.145728,0.755678094691409
engine_step_start,1780383693.8597465,1780383693.8597465,1780383693.859768,0.021457672119140625,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.8671985,1780383693.8671985,1780383693.8674219,0.22339820861816406,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.867441,1780383693.867441,1780383693.880289,12.848138809204102,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.8687959,1780383693.8687959,1780383693.868802,0.006198883056640625,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.8744643,1780383693.8744643,1780383693.8744707,0.0064373016357421875,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.8779106,1780383693.8779106,1780383693.877916,0.0054836273193359375,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.8802943,1780383693.8802943,1780383693.8863134,6.019115447998047,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.8822358,1780383693.8822358,1780383693.8822408,0.0050067901611328125,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.886318,1780383693.886318,1780383693.8924227,6.104707717895508,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.888127,1780383693.888127,1780383693.8881323,0.005245208740234375,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.8924272,1780383693.8924272,1780383693.8985305,6.103277206420898,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.894213,1780383693.894213,1780383693.8942173,0.004291534423828125,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.898535,1780383693.898535,1780383693.9046402,6.105184555053711,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9006567,1780383693.9006567,1780383693.9006615,0.00476837158203125,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.904645,1780383693.904645,1780383693.9107525,6.107568740844727,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9065764,1780383693.9065764,1780383693.906581,0.0045299530029296875,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9107568,1780383693.9107568,1780383693.9168944,6.137609481811523,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9125812,1780383693.9125812,1780383693.9125862,0.0050067901611328125,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9168992,1780383693.9168992,1780383693.9229472,6.047964096069336,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9187884,1780383693.9187884,1780383693.918794,0.0054836273193359375,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9229515,1780383693.9229515,1780383693.92905,6.098508834838867,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9249449,1780383693.9249449,1780383693.9249527,0.007867813110351562,decode,1,0,1322414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9290545,1780383693.9290545,1780383693.9351768,6.122350692749023,decode,0,0,1322412,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780383693.9310224,1780383693.9310224,1780383693.9413815,10.359048843383789,decode,1,0,1322414,5.786418914794922,0.558585928329766,5.786418914794922,0.558585928329766,1.0,1,1.9919176550401254,1.112657172497039,1.9919176550401256,11.526069995838128,1.1126571724970389
engine_step_start,1780383693.9351811,1780383693.9351811,1780383693.941279,6.0977935791015625,decode,0,0,1322412,5.68389892578125,0.9321238661244917,5.68389892578125,0.9321238661244917,1.0,1,1.9919176550401254,1.8567139856176333,1.9919176550401254,11.321858619727275,1.8567139856176331
engine_step_start,1780383693.9412827,1780383693.9412827,1780383693.9499788,8.69607925415039,decode,0,0,1322412,8.69607925415039,1.0,8.69607925415039,1.0,1.0,1,1.9919176550401254,1.9919176550401254,1.9919176550401254,17.32187379597033,1.9919176550401254
engine_step_start,1780383693.944105,1780383693.944105,1780383693.944749,0.6442070007324219,decode,1,0,1322414,0.6442070007324219,1.0,0.6442070007324219,1.0,1.0,1,1.9919176550401254,1.9919176550401254,1.9919176550401254,1.2832072982593579,1.991917655040125
engine_step_start,1780383693.9499943,1780383693.9499943,1780383693.956071,6.076574325561523,decode,0,0,1322412,11.077642440795898,1.8230078079020677,6.076574325561523,1.0,1.8230078079020677,2,3.7014105307141203,3.398843639272782,3.398843639272782,20.65332599500308,3.398843639272782
