bucket,n,p50,p90,p95,p99,multi_pct,estimated_mb_p50,normalized_mb_per_ms_p50,union_overlap_ms_p50
0,16739,13.801097869873047,14.12343978881836,14.199018478393555,14.353628158569334,0.0,0.0,0.0,0.0
"(0, 0.5]",3977,13.882875442504883,14.18156623840332,14.315605163574219,18.80875587463379,12.044254463163188,2.5183294127565614,0.18698785673611287,3.1464099884033203
"(0.5, 1]",1056,13.89157772064209,14.424324035644531,16.027867794036865,20.036089420318604,56.72348484848485,8.427219104287802,0.6110928842360506,3.391146659851074
"(1, 2]",2093,13.869762420654297,14.294052124023438,19.844198226928707,29.05800819396972,30.721452460582896,22.28949059163581,1.6119422618461798,11.067390441894531
"(2, 3]",1391,13.941049575805664,21.991968154907227,23.885130882263184,31.990933418273908,58.59094176851186,32.98428406468153,2.282638434778481,13.775110244750977
"(3, 4]",238,13.990998268127441,25.073742866516113,27.571332454681396,36.54893636703488,100.0,48.839154868774855,3.348141610789679,13.93425464630127
>4,44,13.744592666625977,20.036840438842773,20.852982997894287,28.12896728515625,100.0,60.99708335599985,4.468557528346077,13.632655143737793
