window,active_group,n,duration_p50,duration_p90,duration_p99,sum_overlap_p50,union_overlap_p50,intensity_p50,intensity_p90
early +120s,0,3513,12.357950210571289,12.835359573364258,13.813829421997072,0.0,0.0,nan,nan
early +120s,1,1280,12.369871139526367,13.135337829589844,22.661921977996826,5.567193031311035,5.567193031311035,1.0,1.0
early +120s,>=2,463,12.440681457519531,22.458314895629883,324.37845230102533,15.340328216552734,12.043237686157227,1.5416578496816267,2.3073779081957295
mid +180s,0,6554,12.298822402954102,12.50307559967041,12.696728706359863,0.0,0.0,nan,nan
mid +180s,1,2374,12.275338172912598,12.506484985351562,20.450403690338135,4.307031631469727,4.307031631469727,1.0,1.0
mid +180s,>=2,710,12.290000915527344,15.609931945800783,26.707036495208715,15.190601348876953,12.112259864807129,1.4412666842246904,2.0
mid +240s,0,6050,12.348771095275879,12.578034400939941,12.90858507156372,0.0,0.0,nan,nan
mid +240s,1,2576,12.363314628601074,12.721776962280273,17.95428991317749,9.41622257232666,9.41622257232666,1.0,1.0
mid +240s,>=2,970,12.411952018737793,14.443683624267578,24.639685153961178,17.282605171203613,12.231588363647461,1.745137247508386,2.3373998729472056
mid +300s,0,5686,12.371540069580078,12.656450271606445,12.992620468139648,0.0,0.0,nan,nan
mid +300s,1,2730,12.372851371765137,12.790751457214355,16.675314903259277,9.429335594177246,9.429335594177246,1.0,1.0
mid +300s,>=2,1142,12.409448623657227,14.766192436218262,25.284397602081267,18.269658088684082,12.230753898620605,1.7993540527240222,2.195971709775375
late +360s,0,4382,12.31396198272705,12.577009201049805,12.999999523162842,0.0,0.0,nan,nan
late +360s,1,1538,12.354612350463867,12.700200080871582,20.205535888671875,9.391307830810547,9.391307830810547,1.0,1.0
late +360s,>=2,664,12.420296669006348,18.275427818298343,26.884989738464355,17.78554916381836,12.302160263061523,1.6163021951931267,2.350486231049916
