rank,collective,protocol,max_bytes,min_bytes,iter,time_ms
0,all_gatherv,auto,6634,6634,45,0.024512000381946564
0,all_gatherv,auto,6634,6634,46,0.026048000901937485
0,all_gatherv,auto,6634,6634,47,0.02534399926662445
0,all_gatherv,auto,6634,6634,48,0.026559999212622643
0,all_gatherv,auto,6634,6634,49,0.02470399998128414
0,all_gatherv,auto,10744,10744,0,0.03203200176358223
0,all_gatherv,auto,10744,10744,1,0.029759999364614487
0,all_gatherv,auto,10744,10744,2,0.029023999348282814
0,all_gatherv,auto,10744,10744,3,0.028960000723600388
0,all_gatherv,auto,10744,10744,4,0.03167999908328056
0,all_gatherv,auto,10744,10744,5,0.03471999987959862
0,all_gatherv,auto,10744,10744,6,0.03420799970626831
0,all_gatherv,auto,10744,10744,7,0.03110400028526783
0,all_gatherv,auto,10744,10744,8,0.03177599981427193
0,all_gatherv,auto,10744,10744,9,0.030271999537944794
0,all_gatherv,auto,10744,10744,10,0.029888000339269638
0,all_gatherv,auto,10744,10744,11,0.02985600009560585
0,all_gatherv,auto,10744,10744,12,0.03110400028526783
0,all_gatherv,auto,10744,10744,13,0.031072000041604042
0,all_gatherv,auto,10744,10744,14,0.030112000182271004
0,all_gatherv,auto,10744,10744,15,0.03215999901294708
0,all_gatherv,auto,10744,10744,16,0.030239999294281006
0,all_gatherv,auto,10744,10744,17,0.029888000339269638
0,all_gatherv,auto,10744,10744,18,0.031072000041604042
0,all_gatherv,auto,10744,10744,19,0.029023999348282814
0,all_gatherv,auto,10744,10744,20,0.031072000041604042
0,all_gatherv,auto,10744,10744,21,0.031136000528931618
0,all_gatherv,auto,10744,10744,22,0.029791999608278275
0,all_gatherv,auto,10744,10744,23,0.031039999797940254
0,all_gatherv,auto,10744,10744,24,0.03094400092959404
0,all_gatherv,auto,10744,10744,25,0.031136000528931618
0,all_gatherv,auto,10744,10744,26,0.029055999591946602
0,all_gatherv,auto,10744,10744,27,0.031072000041604042
0,all_gatherv,auto,10744,10744,28,0.031136000528931618
0,all_gatherv,auto,10744,10744,29,0.028896000236272812
0,all_gatherv,auto,10744,10744,30,0.03500799834728241
0,all_gatherv,auto,10744,10744,31,0.03110400028526783
0,all_gatherv,auto,10744,10744,32,0.03110400028526783
0,all_gatherv,auto,10744,10744,33,0.031136000528931618
0,all_gatherv,auto,10744,10744,34,0.031072000041604042
0,all_gatherv,auto,10744,10744,35,0.029952000826597214
0,all_gatherv,auto,10744,10744,36,0.02969600073993206
0,all_gatherv,auto,10744,10744,37,0.028991999104619026
0,all_gatherv,auto,10744,10744,38,0.031136000528931618
0,all_gatherv,auto,10744,10744,39,0.03110400028526783
0,all_gatherv,auto,10744,10744,40,0.03200000151991844
0,all_gatherv,auto,10744,10744,41,0.029888000339269638
0,all_gatherv,auto,10744,10744,42,0.031007999554276466
0,all_gatherv,auto,10744,10744,43,0.029055999591946602
0,all_gatherv,auto,10744,10744,44,0.02908799983561039
0,all_gatherv,auto,10744,10744,45,0.029888000339269638
0,all_gatherv,auto,10744,10744,46,0.030079999938607216
0,all_gatherv,auto,10744,10744,47,0.03136000037193298
0,all_gatherv,auto,10744,10744,48,0.029823999851942062
0,all_gatherv,auto,10744,10744,49,0.030079999938607216
0,all_gatherv,auto,17402,17402,0,0.03587200120091438
0,all_gatherv,auto,17402,17402,1,0.03033600002527237
0,all_gatherv,auto,17402,17402,2,0.030047999694943428
0,all_gatherv,auto,17402,17402,3,0.03827200084924698
0,all_gatherv,auto,17402,17402,4,0.030239999294281006
0,all_gatherv,auto,17402,17402,5,0.030912000685930252
0,all_gatherv,auto,17402,17402,6,0.033055998384952545
0,all_gatherv,auto,17402,17402,7,0.029920000582933426
0,all_gatherv,auto,17402,17402,8,0.031039999797940254
0,all_gatherv,auto,17402,17402,9,0.03094400092959404
0,all_gatherv,auto,17402,17402,10,0.030079999938607216
0,all_gatherv,auto,17402,17402,11,0.03110400028526783
0,all_gatherv,auto,17402,17402,12,0.031168000772595406
0,all_gatherv,auto,17402,17402,13,0.0315839983522892
0,all_gatherv,auto,17402,17402,14,0.029055999591946602
0,all_gatherv,auto,17402,17402,15,0.031039999797940254
0,all_gatherv,auto,17402,17402,16,0.033344000577926636
0,all_gatherv,auto,17402,17402,17,0.028863999992609024
0,all_gatherv,auto,17402,17402,18,0.03110400028526783
0,all_gatherv,auto,17402,17402,19,0.031136000528931618
0,all_gatherv,auto,17402,17402,20,0.030912000685930252
0,all_gatherv,auto,17402,17402,21,0.029055999591946602
0,all_gatherv,auto,17402,17402,22,0.031136000528931618
0,all_gatherv,auto,17402,17402,23,0.03110400028526783
0,all_gatherv,auto,17402,17402,24,0.03110400028526783
0,all_gatherv,auto,17402,17402,25,0.031136000528931618
0,all_gatherv,auto,17402,17402,26,0.030112000182271004
0,all_gatherv,auto,17402,17402,27,0.03705599904060364
0,all_gatherv,auto,17402,17402,28,0.03110400028526783
0,all_gatherv,auto,17402,17402,29,0.030112000182271004
0,all_gatherv,auto,17402,17402,30,0.03622400015592575
0,all_gatherv,auto,17402,17402,31,0.030047999694943428
0,all_gatherv,auto,17402,17402,32,0.031968001276254654
0,all_gatherv,auto,17402,17402,33,0.03110400028526783
0,all_gatherv,auto,17402,17402,34,0.030079999938607216
0,all_gatherv,auto,17402,17402,35,0.029120000079274178
0,all_gatherv,auto,17402,17402,36,0.03110400028526783
0,all_gatherv,auto,17402,17402,37,0.03110400028526783
0,all_gatherv,auto,17402,17402,38,0.03110400028526783
0,all_gatherv,auto,17402,17402,39,0.029055999591946602
0,all_gatherv,auto,17402,17402,40,0.03110400028526783
0,all_gatherv,auto,17402,17402,41,0.03110400028526783
0,all_gatherv,auto,17402,17402,42,0.029023999348282814
0,all_gatherv,auto,17402,17402,43,0.03017600066959858
0,all_gatherv,auto,17402,17402,44,0.028991999104619026
0,all_gatherv,auto,17402,17402,45,0.031136000528931618
0,all_gatherv,auto,17402,17402,46,0.031072000041604042
0,all_gatherv,auto,17402,17402,47,0.029055999591946602
0,all_gatherv,auto,17402,17402,48,0.0331839993596077
0,all_gatherv,auto,17402,17402,49,0.031136000528931618
0,all_gatherv,auto,28184,28184,0,0.0331839993596077
0,all_gatherv,auto,28184,28184,1,0.03721600025892258
0,all_gatherv,auto,28184,28184,2,0.03190400078892708
0,all_gatherv,auto,28184,28184,3,0.026976000517606735
0,all_gatherv,auto,28184,28184,4,0.031072000041604042
0,all_gatherv,auto,28184,28184,5,0.03417599946260452
0,all_gatherv,auto,28184,28184,6,0.030047999694943428
0,all_gatherv,auto,28184,28184,7,0.031936001032590866
0,all_gatherv,auto,28184,28184,8,0.031072000041604042
0,all_gatherv,auto,28184,28184,9,0.030079999938607216
0,all_gatherv,auto,28184,28184,10,0.030079999938607216
0,all_gatherv,auto,28184,28184,11,0.031136000528931618
0,all_gatherv,auto,28184,28184,12,0.029888000339269638
0,all_gatherv,auto,28184,28184,13,0.029023999348282814
0,all_gatherv,auto,28184,28184,14,0.031072000041604042
0,all_gatherv,auto,28184,28184,15,0.029055999591946602
0,all_gatherv,auto,28184,28184,16,0.03315199911594391
0,all_gatherv,auto,28184,28184,17,0.031136000528931618
0,all_gatherv,auto,28184,28184,18,0.03110400028526783
0,all_gatherv,auto,28184,28184,19,0.028863999992609024
0,all_gatherv,auto,28184,28184,20,0.03094400092959404
0,all_gatherv,auto,28184,28184,21,0.029184000566601753
0,all_gatherv,auto,28184,28184,22,0.02985600009560585
0,all_gatherv,auto,28184,28184,23,0.031136000528931618
0,all_gatherv,auto,28184,28184,24,0.03110400028526783
0,all_gatherv,auto,28184,28184,25,0.0352960005402565
0,all_gatherv,auto,28184,28184,26,0.031039999797940254
0,all_gatherv,auto,28184,28184,27,0.03110400028526783
0,all_gatherv,auto,28184,28184,28,0.031072000041604042
0,all_gatherv,auto,28184,28184,29,0.02908799983561039
0,all_gatherv,auto,28184,28184,30,0.031136000528931618
0,all_gatherv,auto,28184,28184,31,0.031072000041604042
0,all_gatherv,auto,28184,28184,32,0.03110400028526783
0,all_gatherv,auto,28184,28184,33,0.030880000442266464
0,all_gatherv,auto,28184,28184,34,0.031039999797940254
0,all_gatherv,auto,28184,28184,35,0.031007999554276466
0,all_gatherv,auto,28184,28184,36,0.03110400028526783
0,all_gatherv,auto,28184,28184,37,0.031039999797940254
0,all_gatherv,auto,28184,28184,38,0.031136000528931618
0,all_gatherv,auto,28184,28184,39,0.031136000528931618
0,all_gatherv,auto,28184,28184,40,0.029152000322937965
0,all_gatherv,auto,28184,28184,41,0.03203200176358223
0,all_gatherv,auto,28184,28184,42,0.03315199911594391
0,all_gatherv,auto,28184,28184,43,0.031199999153614044
0,all_gatherv,auto,28184,28184,44,0.028960000723600388
0,all_gatherv,auto,28184,28184,45,0.03110400028526783
0,all_gatherv,auto,28184,28184,46,0.029120000079274178
0,all_gatherv,auto,28184,28184,47,0.03110400028526783
0,all_gatherv,auto,28184,28184,48,0.03110400028526783
0,all_gatherv,auto,28184,28184,49,0.030079999938607216
0,all_gatherv,auto,45648,45648,0,0.03587200120091438
0,all_gatherv,auto,45648,45648,1,0.032127998769283295
0,all_gatherv,auto,45648,45648,2,0.02800000086426735
0,all_gatherv,auto,45648,45648,3,0.03417599946260452
0,all_gatherv,auto,45648,45648,4,0.02908799983561039
0,all_gatherv,auto,45648,45648,5,0.031007999554276466
0,all_gatherv,auto,45648,45648,6,0.034143999218940735
0,all_gatherv,auto,45648,45648,7,0.030047999694943428
0,all_gatherv,auto,45648,45648,8,0.02879999950528145
0,all_gatherv,auto,45648,45648,9,0.031968001276254654
0,all_gatherv,auto,45648,45648,10,0.026944000273942947
0,all_gatherv,auto,45648,45648,11,0.03311999887228012
0,all_gatherv,auto,45648,45648,12,0.03209599852561951
0,all_gatherv,auto,45648,45648,13,0.031072000041604042
0,all_gatherv,auto,45648,45648,14,0.029055999591946602
0,all_gatherv,auto,45648,45648,15,0.02796800062060356
0,all_gatherv,auto,45648,45648,16,0.03388800099492073
0,all_gatherv,auto,45648,45648,17,0.02985600009560585
0,all_gatherv,auto,45648,45648,18,0.03001599945127964
0,all_gatherv,auto,45648,45648,19,0.026976000517606735
0,all_gatherv,auto,45648,45648,20,0.037376001477241516
0,all_gatherv,auto,45648,45648,21,0.03094400092959404
0,all_gatherv,auto,45648,45648,22,0.026944000273942947
0,all_gatherv,auto,45648,45648,23,0.03308799862861633
0,all_gatherv,auto,45648,45648,24,0.029023999348282814
0,all_gatherv,auto,45648,45648,25,0.031072000041604042
0,all_gatherv,auto,45648,45648,26,0.030047999694943428
0,all_gatherv,auto,45648,45648,27,0.031136000528931618
0,all_gatherv,auto,45648,45648,28,0.029791999608278275
0,all_gatherv,auto,45648,45648,29,0.029120000079274178
0,all_gatherv,auto,45648,45648,30,0.03248000144958496
0,all_gatherv,auto,45648,45648,31,0.02985600009560585
